match_id,inning,batting_team,team_final_score,wickets_lost,anchor_balls_faced,non_anchor_strike_rate,anchor_present,winner,match_won
392228,2,Deccan Chargers,166,4,34.0,145.55555555555554,1,Deccan Chargers,1
392229,1,Kings XI Punjab,134,7,0.0,100.79365079365078,0,Kings XI Punjab,1
392229,2,Deccan Chargers,133,8,37.0,117.24137931034481,1,Kings XI Punjab,0
392230,1,Delhi Daredevils,150,3,42.0,136.58536585365854,1,Delhi Daredevils,1
392230,2,Rajasthan Royals,136,9,33.0,91.48936170212765,1,Delhi Daredevils,0
392231,1,Chennai Super Kings,188,3,0.0,130.2325581395349,0,Kolkata Knight Riders,0
392231,2,Kolkata Knight Riders,189,3,0.0,152.06611570247935,0,Kolkata Knight Riders,1
392232,1,Delhi Daredevils,134,7,0.0,106.5040650406504,0,Royal Challengers Bangalore,0
392232,2,Royal Challengers Bangalore,135,3,90.0,138.46153846153845,1,Royal Challengers Bangalore,1
392233,1,Rajasthan Royals,101,9,0.0,78.04878048780488,0,Kolkata Knight Riders,0
392233,2,Kolkata Knight Riders,102,6,47.0,68.05555555555556,1,Kolkata Knight Riders,1
392234,1,Chennai Super Kings,116,9,0.0,89.34426229508196,0,Chennai Super Kings,1
392234,2,Kings XI Punjab,92,8,32.0,65.93406593406593,1,Chennai Super Kings,0
392235,1,Mumbai Indians,165,8,44.0,109.19540229885058,1,Delhi Daredevils,0
392235,2,Delhi Daredevils,166,6,38.0,152.77777777777777,1,Delhi Daredevils,1
392236,1,Royal Challengers Bangalore,170,4,0.0,138.84297520661158,0,Royal Challengers Bangalore,1
392236,2,Deccan Chargers,158,6,0.0,115.07936507936508,0,Royal Challengers Bangalore,0
392237,1,Delhi Daredevils,153,8,85.0,97.5,1,Deccan Chargers,0
392237,2,Deccan Chargers,154,4,0.0,132.14285714285714,0,Deccan Chargers,1
392238,1,Chennai Super Kings,146,5,0.0,113.8211382113821,0,Royal Challengers Bangalore,0
392238,2,Royal Challengers Bangalore,149,4,39.0,131.57894736842107,1,Royal Challengers Bangalore,1
392239,1,Deccan Chargers,143,6,51.0,109.33333333333333,1,Deccan Chargers,1
392239,2,Royal Challengers Bangalore,137,9,0.0,104.95867768595042,0,Deccan Chargers,0
419106,1,Kolkata Knight Riders,161,4,0.0,114.96062992125984,0,Kolkata Knight Riders,1
419106,2,Deccan Chargers,150,7,0.0,108.66141732283465,0,Kolkata Knight Riders,0
419107,1,Mumbai Indians,212,7,0.0,151.93798449612405,0,Mumbai Indians,1
419107,2,Rajasthan Royals,208,7,0.0,162.4,0,Mumbai Indians,0
419108,1,Kings XI Punjab,142,9,51.0,98.64864864864865,1,Delhi Daredevils,0
419108,2,Delhi Daredevils,146,5,0.0,114.87603305785123,0,Delhi Daredevils,1
419109,1,Royal Challengers Bangalore,135,7,0.0,106.55737704918033,0,Kolkata Knight Riders,0
419109,2,Kolkata Knight Riders,136,3,47.0,108.10810810810811,1,Kolkata Knight Riders,1
419110,1,Deccan Chargers,190,4,85.0,171.73913043478262,1,Deccan Chargers,1
419110,2,Chennai Super Kings,159,9,0.0,126.82926829268293,0,Deccan Chargers,0
419111,1,Rajasthan Royals,141,6,48.0,107.79220779220779,1,Delhi Daredevils,0
419111,2,Delhi Daredevils,142,4,0.0,124.29906542056075,0,Delhi Daredevils,1
419112,1,Kings XI Punjab,203,3,0.0,146.15384615384613,0,Royal Challengers Bangalore,0
419112,2,Royal Challengers Bangalore,204,2,0.0,164.40677966101697,0,Royal Challengers Bangalore,1
419113,1,Chennai Super Kings,164,3,0.0,133.05785123966942,0,Chennai Super Kings,1
419113,2,Kolkata Knight Riders,109,10,0.0,84.87394957983193,0,Chennai Super Kings,0
419114,1,Mumbai Indians,218,7,0.0,158.26771653543307,0,Mumbai Indians,1
419114,2,Delhi Daredevils,120,9,0.0,105.8252427184466,0,Mumbai Indians,0
419115,1,Rajasthan Royals,92,10,0.0,68.54838709677419,0,Royal Challengers Bangalore,0
419115,2,Royal Challengers Bangalore,93,0,41.0,140.0,1,Royal Challengers Bangalore,1
419116,1,Delhi Daredevils,185,6,0.0,140.0,0,Chennai Super Kings,0
419116,2,Chennai Super Kings,190,5,0.0,146.34146341463415,0,Chennai Super Kings,1
419117,1,Deccan Chargers,170,8,0.0,139.6694214876033,0,Deccan Chargers,1
419117,2,Kings XI Punjab,164,8,33.0,128.08988764044943,1,Deccan Chargers,0
419118,1,Rajasthan Royals,168,7,37.0,133.72093023255815,1,Rajasthan Royals,1
419118,2,Kolkata Knight Riders,134,5,34.0,106.89655172413792,1,Rajasthan Royals,0
419119,1,Mumbai Indians,151,9,0.0,110.48387096774192,0,Royal Challengers Bangalore,0
419119,2,Royal Challengers Bangalore,155,3,55.0,145.0,1,Royal Challengers Bangalore,1
419120,1,Deccan Chargers,171,6,0.0,139.6694214876033,0,Deccan Chargers,1
419120,2,Delhi Daredevils,161,9,0.0,129.75206611570246,0,Deccan Chargers,0
419121,1,Kings XI Punjab,136,8,32.0,103.33333333333334,1,Kings XI Punjab,1
419121,2,Chennai Super Kings,136,7,60.0,97.05882352941177,1,Kings XI Punjab,0
419121,3,Chennai Super Kings,9,2,0.0,180.0,0,Kings XI Punjab,0
419121,4,Kings XI Punjab,10,1,0.0,250.0,0,Kings XI Punjab,1
419122,1,Kolkata Knight Riders,155,3,100.0,130.76923076923077,1,Mumbai Indians,0
419122,2,Mumbai Indians,156,3,0.0,132.17391304347825,0,Mumbai Indians,1
419123,1,Royal Challengers Bangalore,171,5,0.0,126.61290322580645,0,Royal Challengers Bangalore,1
419123,2,Chennai Super Kings,135,7,32.0,97.87234042553192,1,Royal Challengers Bangalore,0
419124,1,Rajasthan Royals,183,5,40.0,147.1264367816092,1,Rajasthan Royals,1
419124,2,Kings XI Punjab,152,10,0.0,122.6890756302521,0,Rajasthan Royals,0
419125,1,Chennai Super Kings,180,2,49.0,137.03703703703704,1,Mumbai Indians,0
419125,2,Mumbai Indians,181,5,0.0,139.16666666666666,0,Mumbai Indians,1
419126,1,Deccan Chargers,148,9,0.0,107.87401574803151,0,Rajasthan Royals,0
419126,2,Rajasthan Royals,151,2,0.0,144.3298969072165,0,Rajasthan Royals,1
419127,1,Kolkata Knight Riders,183,5,42.0,130.6818181818182,1,Kolkata Knight Riders,1
419127,2,Kings XI Punjab,144,6,0.0,110.4,0,Kolkata Knight Riders,0
419128,1,Delhi Daredevils,183,4,0.0,137.79527559055117,0,Delhi Daredevils,1
419128,2,Royal Challengers Bangalore,166,9,31.0,130.85106382978725,1,Delhi Daredevils,0
419129,1,Rajasthan Royals,177,8,0.0,142.62295081967213,0,Rajasthan Royals,1
419129,2,Chennai Super Kings,160,6,0.0,125.20325203252031,0,Rajasthan Royals,0
419130,1,Mumbai Indians,172,7,45.0,127.38095238095238,1,Mumbai Indians,1
419130,2,Deccan Chargers,131,10,0.0,109.09090909090908,0,Mumbai Indians,0
419131,1,Delhi Daredevils,177,4,45.0,151.8987341772152,1,Delhi Daredevils,1
419131,2,Kolkata Knight Riders,137,9,33.0,104.3010752688172,1,Delhi Daredevils,0
419132,1,Kings XI Punjab,163,10,48.0,107.59493670886076,1,Mumbai Indians,0
419132,2,Mumbai Indians,164,6,0.0,118.5483870967742,0,Mumbai Indians,1
419133,1,Royal Challengers Bangalore,161,4,52.0,144.44444444444443,1,Chennai Super Kings,0
419133,2,Chennai Super Kings,162,5,35.0,136.58536585365854,1,Chennai Super Kings,1
419134,1,Delhi Daredevils,188,6,39.0,155.29411764705884,1,Delhi Daredevils,1
419134,2,Rajasthan Royals,121,10,0.0,108.25688073394495,0,Delhi Daredevils,0
419135,1,Kolkata Knight Riders,181,6,0.0,132.53968253968253,0,Kolkata Knight Riders,1
419135,2,Deccan Chargers,157,5,87.0,144.73684210526315,1,Kolkata Knight Riders,0
419136,1,Kings XI Punjab,181,5,34.0,142.22222222222223,1,Royal Challengers Bangalore,0
419136,2,Royal Challengers Bangalore,184,4,0.0,147.45762711864407,0,Royal Challengers Bangalore,1
419137,1,Chennai Super Kings,246,5,0.0,196.72131147540983,0,Chennai Super Kings,1
419137,2,Rajasthan Royals,223,5,0.0,166.4,0,Chennai Super Kings,0
419138,1,Mumbai Indians,178,5,0.0,137.90322580645162,0,Mumbai Indians,1
419138,2,Deccan Chargers,115,10,0.0,94.73684210526315,0,Mumbai Indians,0
419139,1,Kolkata Knight Riders,200,3,65.0,187.09677419354838,1,Kings XI Punjab,0
419139,2,Kings XI Punjab,204,2,0.0,177.67857142857142,0,Kings XI Punjab,1
419140,1,Delhi Daredevils,184,5,0.0,143.08943089430895,0,Delhi Daredevils,1
419140,2,Royal Challengers Bangalore,147,9,0.0,119.83471074380165,0,Delhi Daredevils,0
419141,1,Rajasthan Royals,159,10,0.0,119.51219512195121,0,Rajasthan Royals,1
419141,2,Deccan Chargers,157,10,0.0,116.66666666666667,0,Rajasthan Royals,0
419142,1,Chennai Super Kings,165,4,33.0,117.89473684210525,1,Chennai Super Kings,1
419142,2,Mumbai Indians,141,9,0.0,98.44961240310077,0,Chennai Super Kings,0
419143,1,Kings XI Punjab,153,6,0.0,114.28571428571428,0,Rajasthan Royals,0
419143,2,Rajasthan Royals,157,1,38.0,176.27118644067795,1,Rajasthan Royals,1
419144,1,Kolkata Knight Riders,181,3,50.0,155.26315789473685,1,Kolkata Knight Riders,1
419144,2,Delhi Daredevils,167,8,0.0,127.41935483870968,0,Kolkata Knight Riders,0
419145,1,Royal Challengers Bangalore,184,6,0.0,130.0,0,Deccan Chargers,0
419145,2,Deccan Chargers,186,3,0.0,147.10743801652893,0,Deccan Chargers,1
419146,1,Mumbai Indians,154,9,0.0,123.96694214876034,0,Kings XI Punjab,0
419146,2,Kings XI Punjab,158,4,0.0,129.41176470588235,0,Kings XI Punjab,1
419147,1,Chennai Super Kings,138,8,43.0,97.5,1,Deccan Chargers,0
419147,2,Deccan Chargers,139,4,0.0,108.26446280991735,0,Deccan Chargers,1
419148,1,Kolkata Knight Riders,160,9,70.0,126.78571428571428,1,Royal Challengers Bangalore,0
419148,2,Royal Challengers Bangalore,162,3,31.0,165.33333333333334,1,Royal Challengers Bangalore,1
419149,1,Delhi Daredevils,111,10,36.0,84.44444444444444,1,Kings XI Punjab,0
419149,2,Kings XI Punjab,112,3,66.0,74.46808510638297,1,Kings XI Punjab,1
419150,1,Mumbai Indians,174,5,33.0,137.89473684210526,1,Mumbai Indians,1
419150,2,Rajasthan Royals,137,8,0.0,104.8780487804878,0,Mumbai Indians,0
419151,1,Deccan Chargers,151,6,47.0,118.18181818181819,1,Deccan Chargers,1
419151,2,Royal Challengers Bangalore,138,10,40.0,115.29411764705881,1,Deccan Chargers,0
419152,1,Mumbai Indians,183,4,0.0,138.39999999999998,0,Mumbai Indians,1
419152,2,Delhi Daredevils,144,7,31.0,113.18681318681318,1,Mumbai Indians,0
419153,1,Kolkata Knight Riders,139,8,83.0,102.32558139534885,1,Chennai Super Kings,0
419153,2,Chennai Super Kings,143,1,43.0,181.3953488372093,1,Chennai Super Kings,1
419154,1,Rajasthan Royals,130,6,0.0,99.1869918699187,0,Royal Challengers Bangalore,0
419154,2,Royal Challengers Bangalore,132,5,0.0,139.36170212765958,0,Royal Challengers Bangalore,1
419155,1,Chennai Super Kings,112,9,0.0,82.53968253968253,0,Delhi Daredevils,0
419155,2,Delhi Daredevils,113,4,91.0,72.0,1,Delhi Daredevils,1
419156,1,Kings XI Punjab,174,3,0.0,132.8,0,Deccan Chargers,0
419156,2,Deccan Chargers,178,5,0.0,135.24590163934425,0,Deccan Chargers,1
419157,1,Mumbai Indians,191,4,43.0,163.85542168674698,1,Mumbai Indians,1
419157,2,Royal Challengers Bangalore,134,9,0.0,105.73770491803278,0,Mumbai Indians,0
419158,1,Rajasthan Royals,132,9,0.0,106.61157024793388,0,Kolkata Knight Riders,0
419158,2,Kolkata Knight Riders,133,2,40.0,126.5625,1,Kolkata Knight Riders,1
419159,1,Kings XI Punjab,192,3,0.0,152.03252032520325,0,Chennai Super Kings,0
419159,2,Chennai Super Kings,195,4,0.0,150.40650406504065,0,Chennai Super Kings,1
419160,1,Deccan Chargers,145,7,0.0,117.35537190082646,0,Deccan Chargers,1
419160,2,Delhi Daredevils,134,7,43.0,97.5,1,Deccan Chargers,0
419161,1,Mumbai Indians,133,8,38.0,96.42857142857143,1,Kolkata Knight Riders,0
419161,2,Kolkata Knight Riders,135,1,97.0,142.85714285714286,1,Kolkata Knight Riders,1
419162,1,Mumbai Indians,184,5,40.0,150.57471264367817,1,Mumbai Indians,1
419162,2,Royal Challengers Bangalore,149,9,32.0,112.5,1,Mumbai Indians,0
419163,1,Chennai Super Kings,142,7,74.0,120.40816326530613,1,Chennai Super Kings,1
419163,2,Deccan Chargers,104,10,0.0,81.35593220338984,0,Chennai Super Kings,0
